customer_id,customer_type,current_address_country,customer_since_date
1,Personal,GBR,2/23/2023
2,Business,ESP,10/18/2023
3,Business,ESP,3/6/2023
4,Personal,NOR,2/18/2022
5,Business,FRA,10/23/2023
6,Business,ISL,12/26/2022
7,Business,UK,12/3/2022
8,Personal,UK,3/8/2022
9,Personal,DEU,2/12/2022
10,Business,USA,11/11/2023
11,Business,PRT,3/6/2022
12,Business,UK,2/6/2022
13,Personal,UK,5/12/2023
14,Personal,UK,12/14/2022
15,Personal,PRT,7/29/2022
16,Business,AUS,11/8/2022
17,Personal,UK,10/21/2023
18,Business,AUS,11/10/2023
19,NULL,FRA,8/25/2022
20,Business,ISL,12/26/2023
21,Business,USA,8/17/2023
22,Personal,UK,12/29/2022
23,Personal,AUS,1/31/2023
24,Personal,UK,8/9/2022
25,Personal,UK,4/9/2022
26,Personal,ISL,7/16/2022
27,Business,GBR,10/27/2023
28,Personal,AUS,5/8/2022
29,Personal,UK,12/27/2022
30,Business,ESP,6/17/2023
31,Personal,UK,7/13/2022
32,Business,FRA,9/1/2023
33,Personal,UK,3/13/2023
34,Business,UK,9/28/2023
35,Business,UK,10/29/2023
36,Personal,ISL,5/25/2023
37,Personal,USA,10/10/2022
38,Personal,USA,7/1/2022
39,Personal,UK,3/22/2022
40,Personal,PRT,11/27/2023
41,Personal,AUS,2/22/2022
42,Personal,UK,7/24/2023
43,Personal,PRT,3/30/2023
44,Personal,FRA,2/14/2023
45,Personal,NOR,8/11/2023
46,Personal,DEU,7/4/2023
47,Personal,USA,11/2/2022
48,Personal,UK,3/3/2022
49,Personal,UK,7/12/2022
50,Personal,ISL,7/13/2022
51,Personal,NOR,3/19/2023
52,Personal,USA,4/7/2023
53,NULL,UK,10/28/2023
54,Personal,UK,11/15/2022
55,Personal,UK,7/1/2023
56,Personal,USA,4/6/2022
57,Personal,FRA,10/5/2023
58,Personal,GBR,9/14/2022
59,Personal,UK,5/17/2022
60,NULL,ESP,4/6/2022
61,Personal,ISL,9/17/2022
62,Personal,LIE,1/30/2022
63,Personal,UK,11/13/2022
64,Personal,UK,9/26/2022
65,Personal,DEU,3/16/2023
66,Personal,UK,5/26/2023
67,NULL,FRA,11/24/2023
68,Personal,USA,3/9/2023
69,Personal,UK,10/6/2023
70,Personal,UK,4/17/2023
71,Personal,DEU,11/22/2022
72,Personal,ESP,11/23/2022
73,Personal,ISL,10/27/2022
74,Personal,DEU,11/24/2023
75,Personal,FRA,10/31/2022
76,Personal,NOR,6/2/2023
77,Personal,ITA,5/26/2023
78,Business,FRA,1/3/2023
79,Business,ITA,8/12/2022
80,Personal,ITA,4/20/2022
81,Business,FRA,10/6/2023
82,Business,UK,12/5/2023
83,Business,NOR,9/9/2022
84,Personal,ESP,10/22/2023
85,Personal,ESP,9/18/2023
86,Business,DEU,9/13/2022
87,Business,LIE,8/17/2023
88,Business,UK,11/23/2022
89,Personal,UK,3/12/2022
90,Personal,PRT,11/22/2023
91,Personal,ITA,9/1/2022
92,Business,FRA,11/4/2023
93,Personal,UK,1/27/2022
94,Business,UK,11/27/2023
95,Personal,UK,10/11/2023
96,Business,AUS,2/5/2022
97,Business,ISL,11/19/2023
98,Personal,UK,9/16/2023
99,Personal,DEU,8/13/2022
100,Personal,FRA,9/26/2023
